연번,상호명,업종,연락처,자치구,소재지,판매메뉴
1,발우공양,한식,02-733-2081,종로구,서울 종로구 견지동 71 템플스테이 통합정보센터 5층,"선식(비건), 원식(비건), 마음식(비건), 희식(비건), 법식(비건)"
2,502 세컨즈카페,양식,070-4465-7996,노원구,서울 노원구 섬밭로 232 우성아파트,"502 샐러드파스타(락토,비건가능), 502 양념감자튀김(락토,비건가능)"
3,롯데리아 (시흥현대시장),양식,0507-1362-9800,금천구,서울 금천구 독산로 128,"리아미라클버거(비건), 어썸버거(비건)"
4,5길반찬,한식,,노원구,서울 노원구 초안산로5길 12,"한식뷔페 성인(비건), 한식뷔페 초등학생(비건)"
5,롯데리아 (시흥중앙),양식,02-808-0202,금천구,서울 금천구 금하로 712,"리아미라클버거(비건), 어썸버거(비건)"
6,8빵,베이커리,0507-1336-8042,광진구,서울 광진구 능동로32길 51 1층,"무화과 스콘(비건), 얼그레이 스콘(비건), 흑임자 머핀(비건), 두부 레몬 파운드(비건), 단호박 케이크(비건), 통밀 비스코티(비건), 초코칩 케이크(비건), 두부 브라우니(비건), 쑥 찹쌀 케이크(비건), 레몬 케이크(비건), 바나나 파운드(비건), 쌀 바게트(비건), 쌀 밤식빵(비건), 쌀 치아바타(비건), 올리브 치아바타(비건), 오트밀 쿠키(비건)"
7,롯데리아 (홈플러스 금천),양식,02-808-3445,금천구,서울 금천구 시흥대로 391 홈플러스금천점 1F,"리아미라클버거(비건), 어썸버거(비건)"
8,CEEK,양식,010-8499-0905,중구,서울 중구 동호로17길 13 로컬스티치 약수 1층,"베지파스타(비건), 팔라페랩(락토), 퀴노아 펌킨샐러드(락토), 가든 샐러드(비건)"
9,롯데리아 (구로가산),양식,02-2081-0992,금천구,서울 금천구 디지털로 188 W - MALL,"리아미라클버거(비건), 어썸버거(비건)"
10,DURI화덕피자 & 파스타,양식,0507-1338-7504,은평구,서울 은평구 녹번로 41 상가1층 DURI 화덕피자&파스타,"알리오올리오(락토,비건가능),뽀모도로(락토,비건가능),그린샐러드(비건)"
11,본죽 (신림푸르지오),한식,02-855-6664,금천구,서울 금천구 남부순환로 1432,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
12,Mr Lee (미스터 리),술집,010-2786-0444,서대문구,서울 서대문구 연세로7안길 41 지하1층,"갈릭스노잉 파스타(비건), 비건 새우 파스타(비건), 비건 새우 야채볶음밥(비건), 비건 함박스테이크(비건), 비건 어묵 떡볶이(비건), 비건 고기 떡볶이(비건), 비건 새우 감바스와 빵(비건), 버섯 가지 꿔바로우(비건), 비건 고기 볶음우동(비건), 비건 치즈&과일플레이트(비건), 고로케 (비건), 비건 고추장불고기(비건), 비건 치즈라면(비건)"
13,본죽 (시흥),한식,02-894-9799,금천구,서울 금천구 금하로 760,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
14,MTL (효창),카페,070-4259-3113,용산구,서울 용산구 효창원로69길 25 1층 mtl,"비건 밀크티(비건), 피콜로 라떼(락토,비건가능), 카페 라떼(락토,비건가능), 라즈베리 크럼블(비건), 무화과 쑥 파운드(비건), 초코 바나나 파운드(비건)"
15,본죽 (금천롯데캐슬),한식,02-896-6288,금천구,서울 금천구 벚꽃로 40 롯데캐슬골드파크1차 113동 113호,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
16,Ndd,카페,070-4113-1088,성동구,서울 성동구 서울숲2길 19-18 2층,"젤라또 (락토오보,비건가능)"
17,본죽 (가산디지털),한식,02-866-6282,금천구,서울 금천구 가산디지털1로 186 제이플라츠,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
18,TLC,양식,02-736-0177,종로구,서울 종로구 사직로8길 34,"알리오올리오(비건), 두유라떼(비건), 바닐라라떼(비건), 녹차라떼(비건), 초코라떼(비건), 시소풀 샐러드(락토,비건가능), (비건), (비건), (비건), (비건), (비건), TLC 샐러드(락토,비건가능), 베지풀 샐러드(락토,비건가능), 루꼴라 스페셜 깜빠뉴 샌드위치(비건)"
19,본죽 (독산동씨티렉스),한식,02-895-6288,금천구,서울 금천구 시흥대로 399 시티렉스(CT-LEX),"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
20,WHAT A CHEF (왓어쉐프),양식,070-8285-3337,강남구,서울 강남구 선릉로157길 23-3,"감자 치아바타 샌드위치(락토), 스윗베리 리코타 샐러드(락토,비건가능), 연어 샐러드(페스코,비건가능), 왓어쉐프 샐러드(락토,비건가능), 쉬림프 샐러드(페스코,비건가능)"
21,본죽&비빔밥cafe (가산테라타워),한식,02-6230-5522,금천구,서울 금천구 디지털로10길 78,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 동지팥죽(비건), 단호박죽(비건), 녹두죽(비건)"
22,가네샤,인도/중동,02-3663-1532,강서구,서울 강서구 마곡동로3길 26 3층 305호,"믹스베지터블 커리(비건), 알루고비 커리(비건), 타마 마잘라 커리(비건), 팔락 파니르 커리(락토,비건가능), 야채 차오민(오보), 통밀 난 (비건)"
23,본죽&비빔밥cafe (시흥사거리),한식,02-808-6288,금천구,서울 금천구 금하로 619,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 동지팥죽(비건), 단호박죽(비건), 녹두죽(비건)"
24,가로수길 칼국수,한식,02-512-6474,강남구,서울 강남구 압구정로2길 46,"들깨수제비(일반식,비건가능), 들깨감자옹심이(일반식,비건가능), 새싹열무비빔밥(일반식,비건가능)"
25,본죽&비빔밥cafe (독산역),한식,02-858-6288,금천구,서울 금천구 범안로 1130 디지털엠파이어빌딩,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 동지팥죽(비건), 단호박죽(비건), 녹두죽(비건)"
26,가미꼬마김밥,분식,02-929-9575,성북구,서울 성북구 동소문로18길 12-8,"꼬마김밥 야채(비건), 꼬마김밥 우엉(비건), 튀김(비건)"
27,본도시락 (가산디지털3단지),한식,02-858-4282,금천구,서울 금천구 가산디지털1로 219 벽산 디지털밸리6,"곤드레밥(비건), 쌈채소(비건), 고구마견과류샐러드(비건), 새우아보카도샐러드(페스코)"
28,가원,중식,02-325-1580,마포구,서울 마포구 월드컵로 65,"간짜장(비건), 짬뽕(비건), 송이덮밥(비건), 마파두부밥(비건), 잡채밥(비건), 버섯탕수(비건), 가지칠리(비건)"
29,본도시락 (금천구청),한식,02-804-4282,금천구,서울 금천구 시흥대로 251 도일산호시티빌,"곤드레밥(비건), 쌈채소(비건), 고구마견과류샐러드(비건), 새우아보카도샐러드(페스코)"
30,강가 (무교),인도/중동,02-3783-0610,중구,서울 중구 세종대로 136,"알루고비 (비건), 베지터블 바지 (락토), 달 타르카 (비건), 로티(비건)"
31,본도시락 (가산),한식,02-830-4282,금천구,서울 금천구 벚꽃로56길 182 램킨푸르지오시티106호,"곤드레밥(비건), 쌈채소(비건), 고구마견과류샐러드(비건), 새우아보카도샐러드(페스코)"
32,강가 (여의도),인도/중동,02-782-3610,영등포구,서울 영등포구 국제금융로2길 7,"알루고비 (비건), 베지터블 바지 (락토), 달 타르카 (비건), 로티(비건)"
33,샐러디 (가산디지털단지),양식,0507-1486-8289,금천구,서울 금천구 가산디지털1로 181 sk w센터 106호,"언리미트 웜볼(비건), 언리미트 웜랩(락토), 단호박 두부 웜볼(비건), 콥 샐러디(일반식,비건가능), 탄단지 샐러디(일반식,비건가능), 아보크랩 샐러디(페스코), 리코타치즈 샐러디(락토,비건가능), 연어 샐러디(페스코,비건가능), 나만의 샐러디/웜볼(비건), 나만의 샐러디 - 곡물볼(비건)"
34,강가 (역삼),인도/중동,02-2005-0610,강남구,서울 강남구 논현로 508,"알루고비 (비건), 베지터블 바지 (락토), 달 타르카 (비건), 로티(비건)"
35,스무디킹 (가산마리오아울렛),카페,02-2067-2101,금천구,서울 금천구 벚꽃로 266 마리오아울렛3관 B1,"비건 애플 크럼블 케익(비건), 비건 초콜릿 칩 머핀(비건), 비건 당근호두머핀(비건), 비건 블루베리 크럼블케익(비건), 애플 키위 케일주스(비건), 베리 캐롯 주스(비건)"
36,강가 (잠실),인도/중동,02-3213-4636,송파구,서울 송파구 올림픽로 300,"알루고비 (비건), 베지터블 바지 (락토), 달 타르카 (비건), 로티(비건)"
